carrots,eggs,fish,ice,juice,
apple,beer,diapers,eggs,fish,
apple,carrots,diapers,eggs,fish,
apple,beer,carrots,fish,ham,
apple,carrots,glue,ice,juice,
apple,beer,diapers,ham,ice,
beer,carrots,fish,glue,juice,
apple,beer,eggs,glue,ham,
apple,beer,eggs,fish,juice,
apple,beer,eggs,fish,ice,
apple,beer,eggs,glue,ice,
beer,fish,glue,ice,juice,
diapers,fish,ham,ice,juice,
beer,diapers,eggs,ham,ice,
beer,diapers,eggs,ice,juice,
apple,carrots,fish,glue,ham,
apple,beer,carrots,ice,juice,
apple,beer,diapers,glue,ham,
apple,diapers,fish,glue,ham,
apple,diapers,eggs,fish,ice,
